Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
96883-55050,RB,Christian,Christian McCaffrey,McCaffrey,22.46666717529297,12,10500,SEA@SF,SF,SEA,,,,,,RB/FLEX
96883-42104,RB,Alvin,Alvin Kamara,Kamara,17.566667344835068,9,9000,CAR@NO,NO,CAR,,,,,,RB/FLEX
96883-85671,WR,Justin,Justin Jefferson,Jefferson,18.219999694824217,5,9000,MIN@LV,MIN,LV,,,,,,WR/FLEX
96883-62239,QB,Josh,Josh Allen,Allen,24.980000813802082,12,9000,BUF@KC,BUF,KC,,,,,,QB
96883-29253,WR,Keenan,Keenan Allen,Allen,17.921666463216145,12,8800,DEN@LAC,LAC,DEN,,,,,,WR/FLEX
96883-104433,RB,Kyren,Kyren Williams,Williams,19.837499618530273,8,8800,LAR@BAL,LAR,BAL,,,,,,RB/FLEX
96883-25079,WR,Stefon,Stefon Diggs,Diggs,15.533332824707031,12,8700,BUF@KC,BUF,KC,,,,,,WR/FLEX
96883-89675,RB,Jonathan,Jonathan Taylor,Taylor,13.299999782017299,7,8500,IND@CIN,IND,CIN,O,Thumb,,,,RB/FLEX
96883-32384,WR,Mike,Mike Evans,Evans,15.97499974568685,12,8500,TB@ATL,TB,ATL,,,,,,WR/FLEX
96883-57439,QB,Patrick,Patrick Mahomes,Mahomes,19.34833272298177,12,8400,BUF@KC,KC,BUF,,,,,,QB
96883-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,15.808333079020182,12,8400,JAC@CLE,JAC,CLE,Q,Ribs,,,,RB/FLEX
96883-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.5,11,8200,DET@CHI,DET,CHI,,,,,,WR/FLEX
96883-85607,QB,Brock,Brock Purdy,Purdy,19.541666666666668,12,8100,SEA@SF,SF,SEA,,,,,,QB
96883-72731,RB,Josh,Josh Jacobs,Jacobs,13.050000508626303,12,8000,MIN@LV,LV,MIN,,,,,,RB/FLEX
96883-33076,TE,Travis,Travis Kelce,Kelce,13.30000027743253,11,8000,BUF@KC,KC,BUF,,,,,,TE/FLEX
