name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,fpts-1k,cpt_pts,cpt_sal,cpt_fpts_1k
David Moore,FLEX,800,TB,0.85,0.47,1.06,0.59,-1.55,1.06,1.27,1200,1.06
Olamide Zaccheaus,FLEX,2000,PHI,2.85,1.33,1.42,0.66,-3.15,1.42,4.28,3000,1.42
Trey Palmer,FLEX,2800,TB,4.75,2.34,1.7,0.84,-3.65,1.7,7.12,4200,1.7
Quez Watkins,FLEX,3000,PHI,3.35,1.9,1.12,0.63,-5.65,1.12,5.03,4500,1.12
Julio Jones,FLEX,3800,PHI,3.55,2.02,0.93,0.53,-7.85,0.93,5.32,5700,0.93
Kenneth Gainwell,FLEX,4200,PHI,4.0,2.11,0.95,0.5,-8.6,0.95,6.0,6300,0.95
Dallas Goedert,FLEX,6400,PHI,10.55,5.11,1.65,0.8,-8.65,1.65,15.82,9600,1.65
Cade Otton,FLEX,5400,TB,4.95,2.69,0.92,0.5,-11.25,0.92,7.43,8100,0.92
Chase Edmonds,FLEX,4400,TB,1.4,0.74,0.32,0.17,-11.8,0.32,2.1,6600,0.32
D'Andre Swift,FLEX,7200,PHI,8.7,4.75,1.21,0.66,-12.9,1.21,13.05,10800,1.21
Chris Godwin,FLEX,7800,TB,10.15,5.77,1.3,0.74,-13.25,1.3,15.23,11700,1.3
DeVonta Smith,FLEX,8600,PHI,12.45,6.42,1.45,0.75,-13.35,1.45,18.67,12900,1.45
Baker Mayfield,FLEX,9800,TB,15.86,8.04,1.62,0.82,-13.54,1.62,23.79,14700,1.62
Jalen Hurts,FLEX,11600,PHI,18.38,8.91,1.58,0.77,-16.42,1.58,27.57,17400,1.58
Rachaad White,FLEX,10200,TB,11.8,6.21,1.16,0.61,-18.8,1.16,17.7,15300,1.16
Mike Evans,FLEX,10600,TB,11.35,6.33,1.07,0.6,-20.45,1.07,17.02,15900,1.07
